display_date,headline,active_topics_normal,active_topics_ignore_future
2008-08-27 06:02:22.155,International Finance: Letter From The City / News and Insights from London's Financial Center ---- By Dana Cimilluca Marietta Cauchi and Victoria Howley,International exchanges,International exchanges
2007-06-29 06:09:03.678,Heard on the Street: Discover Finds a Fan Base Ahead of Looming Spinoff ---- By Robin Sidel,,Publishing
2008-05-12 06:11:33.344,THE OUTLOOK: Four Ways to Ease a Global Food Crisis Over the Next Year ---- By Bob Davis,Environment ,"Challenges, Changes, Environment , Problems"
2007-02-13 07:18:31.133,Corporate Focus: Tenaris to Pay $2.1 Billion To Buy Hydril ---- By Serena Saitto and Liam Moloney,"C-suite, M&A","C-suite, M&A"
2008-11-04 07:13:22.483,World News: Toyota's Global Woes Start to Hit Home in Japan --- Production Cuts Send Chill Through Toyota City a Boomtown That Has Helped Fuel the World's Second-Largest Economy ---- By John Murphy,"Automotive, Economic growth, Japan, Problems","Automotive, Challenges, Economic growth, Japan, Problems"
2008-12-19 07:17:33.481,U.S. News: White House Says Help For Auto Makers Is Near ---- By John D. McKinnon and Aparajita Saha-Bubna,Automotive,Automotive
2009-01-22 07:10:32.628,World News: Israel Completes Gaza Pullout and Aid Trickles In ---- By Charles Levinson in Gaza City and Joshua Mitnick in Tel Aviv,,
2008-04-04 06:16:12.469,Corporate News: GM Pushes Testing on Electric Car --- Volt's Battery System Set for Two-Year Tryout To Meet 2010 Goal ---- By Terry Kosdrosky and John D. Stoll,Automotive,Automotive
2008-05-16 06:22:52.303,International Finance: Barclays Doesn't Budge --- Bank Posts Profit Declines for Now To Seek Infusion ---- By Neil Shah and Carrick Mollenkamp,"C-suite, Earnings losses, Investment banking","C-suite, Earnings losses, Financial reports, International exchanges, Investment banking"
2007-11-06 07:11:12.691,Business Technology: Big Computers Big Changes? --- Shift to 'Multicore' Design Creates Challenges for Users ---- By Don Clark,"Challenges, Changes, Microchips, Problems, Systems","Challenges, Changes, Internet, Microchips, Problems, Systems"
2009-08-13 06:17:51.201,World News: India Hopes for Rain and an Accurate Forecast ---- By Sonya Misquitta and Geeta Anand,,Environment 
2007-03-21 06:16:42.181,Leading the News: Virgin America May Be New Threat to U.S. Airlines ---- By Paulo Prada,Competition,"Challenges, Changes, Competition, Problems"
2008-01-22 07:10:53.723,Credit Crunch: A Game of Global Regulation --- European Policy Makers Race to Get Ahead of Next Crisis ---- By Alistair MacDonald,"Credit cards, European politics","Challenges, Changes, Environment , European politics, Financial crisis, Problems"
2009-02-24 07:11:12.260,Currents -- Art World's Stimulus Package: Matisse Mondrian Not Picasso ---- By Kelly Crow and Max Colchester,"Arts, Publishing","Arts, Publishing"
2008-09-24 06:16:13.723,World News: EU Seen Weakening Emissions Law for Auto Makers --- Drafters of Rules Offer Lower Fines Phased CO2 Caps ---- By Leila Abboud in Paris and Edward Taylor in Frankfurt,"Automotive, Environment ","Automotive, Environment "
2008-02-29 07:04:04.341,Deals & Deal Makers: Goldman Youth Movement --- Securities Division Gets Four Leaders in Shuffle Of Firm's Young Talent ---- By Jed Horowitz,"C-suite, Mid-level executives",C-suite
2008-03-19 06:20:23.265,Deals & Deal Makers: E*Trade's Lilien to Resign No. 2 Post ---- By Susanne Craig,"C-suite, Mid-level executives","C-suite, Mid-level executives"
2009-02-20 07:19:43.596,Corporate News: Higher Prices Fuel Nestle's Profit --- As Food Giant Posts Strong Results CEO Says '09 Isn't 'All Doom and Gloom' ---- By Aaron O. Patrick,"C-suite, Foods/consumer goods, Product prices","C-suite, Foods/consumer goods, Product prices"
2008-11-14 03:45:10.107,The Doctor's Office: A Prescription for Change in Primary Care ---- By Benjamin Brewer,"Challenges, Changes, Problems","Challenges, Changes, Problems"
2009-11-05 07:16:51.677,Deals & Deal Makers: Big Deals Did Worse In Decade ---- By Peter Lattman,,M&A
2007-01-25 07:09:12.025,Commodities Report: Corn Falls After Bush Speech --- Lack of Surprises in Address Leads Investors to Take Profits As Buzz Over Ethanol Cools ---- By Andrew Johnson Jr.,"Bush/Obama/Trump, Commodities","Bush/Obama/Trump, Commodities"
2009-07-08 06:08:51.119,Currents -- The Numbers Guy: Calorie Disclosures Fail to Weigh Whole Enchilada --- Laws Requiring Restaurants to Post Nutritional Data Lean on Slim Research Overlook 'Compensation' Meals ---- By Carl Bialik,,Environment 
2009-04-03 06:21:02.918,Corporate News: RIM Net Rises On Strong Sales Of BlackBerry ---- By Sara Silver,"C-suite, Mid-level executives, Mobile devices","C-suite, Revenue growth"
2009-08-31 06:03:31.863,Media & Marketing -- Advertising: Hearst Signs On in Beauty Contest --- New Site Aims to Attract Ads From Cosmetics Hair-Care Firms ---- By Shira Ovide and Emily Steel,Marketing,"Competition, Marketing"
2008-10-22 06:14:31.964,Corporate News: UAL Incurs Loss as Cost Of Fuel Rises ---- By Ann Keeton,Earnings losses,"Bankruptcy, Challenges, Changes, Earnings losses, Problems"
2007-05-24 06:14:52.552,Politics & Economics: Immigration Bill's Business Backers Dealt a Blow --- Senate Cuts Target For Guest Workers; Sign of Democrats' Ire ---- By Sarah Lueck,Immigration,"Challenges, Changes, Immigration, Problems"
2007-07-27 06:18:41.100,Technology & Health: Intel to Face Antitrust Charges in Europe ---- By Don Clark,"Electronics, Environment , European politics, Health insurance, Internet, Microchips, Mobile devices","Challenges, Changes, Competition, Electronics, Environment , European politics, Health insurance, Lawsuits, Microchips, Mobile devices, Problems"
2009-05-08 06:21:31.099,Stress-Test Results: GMAC Gap Looks to Be Filled By Big Stake From Government ---- By Aparajita Saha-Bubna,"Control stakes, Private/public sector","Automotive, Private/public sector"
2008-07-24 06:13:33.716,Deals & Deal Makers: Tokio Marine to Buy Philadelphia Insurer --- Takeover Is Latest By Cash-Laden Japanese Acquirers ---- By Alison Tudor,"Japan, M&A","Japan, M&A"
2008-10-14 06:19:32.724,Corporate News: GM to Close Plants Restrict Lending --- Auto Maker Seeks to Cut Costs; Share Price Rises 33% After Plunging Last Week ---- By Sharon Terlep,"Automotive, Bank loans","Automotive, Bank loans, Challenges, Changes, Problems"
2007-07-02 06:08:11.453,Stock Market Quarterly Review: Blackstone Leads Robust IPOs --- Technology Finance Top Global Offerings In 'Healthy' Market ---- By Yvonne Ball,"Investment banking, Venture capital",
2008-11-14 07:09:44.795,International Finance: Mizuho Points to Cracks in Japan --- Bad Loans Send Bank's Net Down 71%; Preferred Issue Seeks Up to 300 Billion Yen ---- By Atsuko Fukase,"Bank loans, Japan, Problems, Savings & loans","Bank loans, Challenges, Japan, Problems"
